numéro,date,lieu,compétition,epreuve,coeff,pts+,nbResultats,url
301729001,"07/09/25","VOUZIERS","COURSE NATURE DE VOUZIERS"," 14 Km - Compétition / TCX",1,0,99,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=301729&frmepreuve=14+Km+-+Comp%c3%a9tition+%2f+TCX"
301729002,"07/09/25","VOUZIERS","COURSE NATURE DE VOUZIERS"," 5 Km - Découverte / TCX",1,0,33,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=301729&frmepreuve=5+Km+-+D%c3%a9couverte+%2f+TCX"
301729003,"07/09/25","VOUZIERS","COURSE NATURE DE VOUZIERS"," 9 Km - Loisir / TCX",1,0,43,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=301729&frmepreuve=9+Km+-+Loisir+%2f+TCX"
295325001,"13/09/25","ECORDAL","Trail d'Ecordal"," Trail d'Ecordal / TCX",1,4,234,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=295325&frmepreuve=Trail+d%27Ecordal+%2f+TCX"
294509001,"14/09/25","CHARLEVILLE MEZIERES","Prix pédestre de Mézières"," 75 éme Prix pédestre Mézières / TCX",1,2,146,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=294509&frmepreuve=75+%c3%a9me+Prix+p%c3%a9destre+M%c3%a9zi%c3%a8res+%2f+TCX"
295018001,"07/09/25","ETEIGNIERES","Jogging Eteignières"," Le Jogging / TCX",1,0,87,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=295018&frmepreuve=Le+Jogging+%2f+TCX"
295018002,"07/09/25","ETEIGNIERES","Jogging Eteignières"," Petit Jogging / TCX",1,0,65,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=295018&frmepreuve=Petit+Jogging+%2f+TCX"
306225002,"05/10/25","CHARLEVILLE MEZIERES","105ème édition course Sedan-Charleville","Course HS non officielle / TCX",1,10,3295,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=306225&frmepreuve=Course+HS+non+officielle+%2f+TCX"
299973001,"11/10/25","CHARLEVILLE MEZIERES","LE MOUVEMENT"," Deux boucles / TCX",1,0,93,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=299973&frmepreuve=Deux+boucles+%2f+TCX"
299973002,"11/10/25","CHARLEVILLE MEZIERES","LE MOUVEMENT"," Une boucle / TCX",1,0,27,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=299973&frmepreuve=Une+boucle+%2f+TCX"
303169001,"18/10/25","VANDY","LA CHALETTE"," grande distance / TCX",1,2,118,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=303169&frmepreuve=grande+distance+%2f+TCX"
303169002,"18/10/25","VANDY","LA CHALETTE"," petite distance / TCX",1,2,32,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=303169&frmepreuve=petite+distance+%2f+TCX"
307001001,"19/10/25","VIVIER AU COURT","Course nature de la vallée Chausson","course nature 14 km / TCX",1,2,100,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=307001&frmepreuve=course+nature+14+km+%2f+TCX"
307001002,"19/10/25","VIVIER AU COURT","Course nature de la vallée Chausson","course nature 7 km / TCX",1,0,86,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=307001&frmepreuve=course+nature+7+km+%2f+TCX"
297139001,"25/10/25","NOUVION SUR MEUSE","TRAIL'LOWEEN","Corrida / TCX",1,8,461,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=297139&frmepreuve=Corrida+%2f+TCX"
297139002,"25/10/25","NOUVION SUR MEUSE","TRAIL'LOWEEN","Trail / TCX",1,4,257,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=297139&frmepreuve=Trail+%2f+TCX"
297139007,"25/10/25","NOUVION SUR MEUSE","TRAIL'LOWEEN","Pti Trail / TCX",1,10,617,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=297139&frmepreuve=Pti+Trail+%2f+TCX"
297139008,"25/10/25","NOUVION SUR MEUSE","TRAIL'LOWEEN","Grand Trail / TCX",1,4,204,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=297139&frmepreuve=Grand+Trail+%2f+TCX"
302097001,"02/11/25","RETHEL","Foulées rethéloises","10 Km Route / TCX",1.5,10,850,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=302097&frmepreuve=10+Km+Route+%2f+TCX"
315110008,"02/11/25","RETHEL","Foulées Retheloises Jeunes","Course Découverte / TCX",1,0,75,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=315110&frmepreuve=Course+D%c3%a9couverte+%2f+TCX"
301637001,"11/11/25","MONTCY NOTRE DAME","Trail Zig Zag dez Montcy Notre Dame","Trail 15 Kms / TCX",1,8,422,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=301637&frmepreuve=Trail+15+Kms+%2f+TCX"
301637002,"11/11/25","MONTCY NOTRE DAME","Trail Zig Zag dez Montcy Notre Dame","Trail 7 Kms / TCX",1,4,278,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=301637&frmepreuve=Trail+7+Kms+%2f+TCX"
311516006,"16/11/25","VRIGNE AUX BOIS","Cross du GRAC ","Cross long Hommes et Femmes / TCX",1,2,100,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=311516&frmepreuve=Cross+long+Hommes+et+Femmes+%2f+TCX"
311516007,"16/11/25","VRIGNE AUX BOIS","Cross du GRAC ","Juniors Femmes 2007/2008 / TCX",1,2,100,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=311516&frmepreuve=Juniors+Femmes+2007%2f2008+%2f+TCX"
311516008,"16/11/25","VRIGNE AUX BOIS","Cross du GRAC ","Juniors Hommes 2007/2008 / TCX",1,2,100,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=311516&frmepreuve=Juniors+Hommes+2007%2f2008+%2f+TCX"
311516003,"16/11/25","VRIGNE AUX BOIS","Cross du GRAC ","Cadets 2009/2010 / TCX",1,2,100,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=311516&frmepreuve=Cadets+2009%2f2010+%2f+TCX"
311516004,"16/11/25","VRIGNE AUX BOIS","Cross du GRAC ","Cadettes 2009/2010 / TCX",1,2,100,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=311516&frmepreuve=Cadettes+2009%2f2010+%2f+TCX"
311516005,"16/11/25","VRIGNE AUX BOIS","Cross du GRAC ","Cross court Hommes et Femmes / TCX",1,0,15,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=311516&frmepreuve=Cross+court+Hommes+et+Femmes+%2f+TCX"
302307001,"23/11/25","CHARLEVILLE MEZIERES","DECARUN'CAROLO","10 Km Route / DECARUN'CAROLO / TCX",1.5,8,454,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=302307&frmepreuve=10+Km+Route+%2f+DECARUN%27CAROLO+%2f+TCX"
302097001,"02/11/25","RETHEL","Foulées rethéloises","10 Km Route / TCX",1,10,850,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=302097&frmepreuve=10+Km+Route+%2f+TCX"
302905001,"28/11/25","PRIX LES MEZIERES","Les foulées Pirisiennes","Corrida du telethon / TCX",1,2,146,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=302905&frmepreuve=Corrida+du+telethon+%2f+TCX"
301731001,"29/11/25","VOUZIERS","TRAIL SEMI URBAIN NOCTURNE DE VOUZIERS","10 kms / TCX",1,2,166,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=301731&frmepreuve=10+kms+%2f+TCX"
301731002,"29/11/25","VOUZIERS","TRAIL SEMI URBAIN NOCTURNE DE VOUZIERS","15 kms / TCX",1,0,95,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=301731&frmepreuve=15+kms+%2f+TCX"
301731003,"29/11/25","VOUZIERS","TRAIL SEMI URBAIN NOCTURNE DE VOUZIERS","5 kms / TCX",1,2,128,"https://www.athle.fr/bases/liste.aspx?frmbase=resultats&frmmode=1&frmespace=0&frmcompetition=301731&frmepreuve=5+kms+%2f+TCX"
